category,item,axis_or_motor,value,unit,source,status,notes
layout,origin,x,0,cm,现场约定,confirmed,中心橙色圆/板面中心
layout,origin,y,0,cm,现场约定,confirmed,中心橙色圆/板面中心
layout,axis,+x,right,orientation,现场约定,confirmed,右为正方向
layout,axis,+y,up,orientation,现场约定,confirmed,上为正方向
layout,motor_anchor,M1_x,-30.0,cm,Core/Inc/kinematics.h,confirmed,M1左下
layout,motor_anchor,M1_y,-30.0,cm,Core/Inc/kinematics.h,confirmed,M1左下
layout,motor_anchor,M2_x,30.0,cm,Core/Inc/kinematics.h,confirmed,M2右上
layout,motor_anchor,M2_y,30.0,cm,Core/Inc/kinematics.h,confirmed,M2右上
layout,motor_anchor,M3_x,30.0,cm,Core/Inc/kinematics.h,confirmed,M3右下
layout,motor_anchor,M3_y,-30.0,cm,Core/Inc/kinematics.h,confirmed,M3右下
layout,motor_anchor,M4_x,-30.0,cm,Core/Inc/kinematics.h,confirmed,M4左上
layout,motor_anchor,M4_y,30.0,cm,Core/Inc/kinematics.h,confirmed,M4左上
layout,height,pulley_z,38.75,cm,Core/Inc/kinematics.h,needs-confirm,现场需复测
layout,height,gondola_z,20.0,cm,Core/Inc/kinematics.h,needs-confirm,现场需复测
layout,height,dz,18.75,cm,Core/Inc/kinematics.h,confirmed-from-constants,38.75-20.0
layout,gondola,half_length_x,4.25,cm,Core/Inc/kinematics.h,needs-confirm,对应8.5cm/2
layout,gondola,half_width_y,3.25,cm,Core/Inc/kinematics.h,needs-confirm,对应6.5cm/2
layout,spool,effective_radius,5.25,mm,Core/Inc/kinematics.h,needs-confirm,固定半径模型
layout,spool,counts_per_cm,1091,0.1deg/cm,Core/Inc/kinematics.h,approx,公式约等于1091
layout,limit,xy_soft_limit,22.0,cm,Core/Inc/kinematics.h,confirmed-from-code,不是机械硬限位
vision,target_center,x,0,cm,串口/现场,confirmed,中心圆
vision,target_center,y,0,cm,串口/现场,confirmed,中心圆
vision,target_LT,x,-20,cm,串口/现场,confirmed,左上橙色圆参考
vision,target_LT,y,20,cm,串口/现场,confirmed,左上橙色圆参考
vision,target_RT,x,20,cm,串口/现场,confirmed,右上橙色圆参考
vision,target_RT,y,20,cm,串口/现场,confirmed,右上橙色圆参考
vision,target_RB,x,20,cm,串口/现场,confirmed,右下橙色圆参考
vision,target_RB,y,-20,cm,串口/现场,confirmed,右下橙色圆参考
vision,target_LB,x,-20,cm,串口/现场,confirmed,左下橙色圆参考
vision,target_LB,y,-20,cm,串口/现场,confirmed,左下橙色圆参考
patrol,nominal_LT,soft_x,-16.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_LT,soft_y,15.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_RT,soft_x,16.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_RT,soft_y,17.5,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_RB,soft_x,16.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_RB,soft_y,-15.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_LB,soft_x,-16.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
patrol,nominal_LB,soft_y,-15.0,cm,Core/Src/task.c,confirmed-from-code,未学习前软目标
calibration,LT_avg_n2,soft_x,-19.47,cm,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,soft_y,14.27,cm,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,err_x,0.25,cm,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,err_y,0.05,cm,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,tilt_x,-0.23,tilt,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,tilt_y,0.51,tilt,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,enc_m1,4430,0.1deg,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,enc_m2,-9210,0.1deg,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,enc_m3,22035,0.1deg,serial PATROL CAL TABLE,confirmed,n=2
calibration,LT_avg_n2,enc_m4,19883,0.1deg,serial PATROL CAL TABLE,confirmed,n=2
